alias,lower,upper,unit,benchmark,label,level,footprint_wkt,frame
UN-B-0-C,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Ground,"POLYGON ((152.100195 127.762149, 155.860313 119.458648, 154.673883 118.927222, 150.913765 127.230724, 152.100195 127.762149))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-0-R1,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 1,Ground,"POLYGON ((160.415767 128.250452, 153.441040 125.092050, 152.232069 127.761833, 159.206794 130.920234, 160.415767 128.250452))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-0-R2,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 2,Ground,"POLYGON ((161.674242 125.471356, 154.699513 122.312953, 153.490542 124.982736, 160.465269 128.141138, 161.674242 125.471356))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-0-R3,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 3,Ground,"POLYGON ((162.932717 122.692259, 155.957986 119.533856, 154.749015 122.203639, 161.723744 125.362041, 162.932717 122.692259))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-1-C,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 1,"POLYGON ((152.100195 127.762149, 155.860313 119.458648, 154.673883 118.927222, 150.913765 127.230724, 152.100195 127.762149))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-1-R1,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 1,"POLYGON ((160.415767 128.250452, 153.441040 125.092050, 152.232069 127.761833, 159.206794 130.920234, 160.415767 128.250452))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-1-R2,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 1,"POLYGON ((161.674242 125.471356, 154.699513 122.312953, 153.490542 124.982736, 160.465269 128.141138, 161.674242 125.471356))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-1-R3,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 1,"POLYGON ((162.932717 122.692259, 155.957986 119.533856, 154.749015 122.203639, 161.723744 125.362041, 162.932717 122.692259))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-2-C,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 2,"POLYGON ((152.100195 127.762149, 155.860313 119.458648, 154.673883 118.927222, 150.913765 127.230724, 152.100195 127.762149))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-2-R1,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 2,"POLYGON ((160.415767 128.250452, 153.441040 125.092050, 152.232069 127.761833, 159.206794 130.920234, 160.415767 128.250452))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-2-R2,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 2,"POLYGON ((161.674242 125.471356, 154.699513 122.312953, 153.490542 124.982736, 160.465269 128.141138, 161.674242 125.471356))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-B-2-R3,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 2,"POLYGON ((162.932717 122.692259, 155.957986 119.533856, 154.749015 122.203639, 161.723744 125.362041, 162.932717 122.692259))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
