alias,lower,upper,unit,benchmark,label,level,footprint_wkt,frame
UN-C-0-C,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Ground,"POLYGON ((107.685090 114.959849, 108.290642 113.809485, 99.375955 109.166700, 98.771630 110.317704, 107.685090 114.959849))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-0-R1,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 1,Ground,"POLYGON ((108.392617 106.528377, 105.443351 112.191312, 108.318215 113.688546, 111.268106 108.024411, 108.392617 106.528377))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-0-R2,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 2,Ground,"POLYGON ((105.410674 104.976958, 102.462056 110.638648, 105.336920 112.135882, 108.286163 106.472992, 105.410674 104.976958))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-0-R3,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 3,Ground,"POLYGON ((102.428731 103.425540, 99.480762 109.085985, 102.355625 110.583219, 105.304220 104.921573, 102.428731 103.425540))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-1-C,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 1,"POLYGON ((107.685090 114.959849, 108.290642 113.809485, 99.375955 109.166700, 98.771630 110.317704, 107.685090 114.959849))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-1-R1,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 1,"POLYGON ((108.392617 106.528377, 105.443351 112.191312, 108.318215 113.688546, 111.268106 108.024411, 108.392617 106.528377))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-1-R2,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 1,"POLYGON ((105.410674 104.976958, 102.462056 110.638648, 105.336920 112.135882, 108.286163 106.472992, 105.410674 104.976958))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-1-R3,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 1,"POLYGON ((102.428731 103.425540, 99.480762 109.085985, 102.355625 110.583219, 105.304220 104.921573, 102.428731 103.425540))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-2-C,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 2,"POLYGON ((107.685090 114.959849, 108.290642 113.809485, 99.375955 109.166700, 98.771630 110.317704, 107.685090 114.959849))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-2-R1,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 2,"POLYGON ((108.392617 106.528377, 105.443351 112.191312, 108.318215 113.688546, 111.268106 108.024411, 108.392617 106.528377))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-2-R2,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 2,"POLYGON ((105.410674 104.976958, 102.462056 110.638648, 105.336920 112.135882, 108.286163 106.472992, 105.410674 104.976958))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-C-2-R3,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 2,"POLYGON ((102.428731 103.425540, 99.480762 109.085985, 102.355625 110.583219, 105.304220 104.921573, 102.428731 103.425540))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
