alias,lower,upper,unit,benchmark,label,level,footprint_wkt,frame
UN-B-0-R1,0,3,m,DEMO-UTTAM-NAGAR,DEMO room B-0-R1,DEMO Floor 0,"POLYGON ((79.13251054 18.71729203, 71.82944280 16.19728982, 76.20561751 3.51495953, 83.50868525 6.03496174, 79.13251054 18.71729203))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-0-R2,0,3,m,DEMO-UTTAM-NAGAR,DEMO room B-0-R2,DEMO Floor 0,"POLYGON ((74.69109828 31.58868333, 67.38803054 29.06868112, 71.76420526 16.38635083, 79.06727300 18.90635304, 74.69109828 31.58868333))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-0-COMMON,0,3,m,DEMO-UTTAM-NAGAR,DEMO shared access B-0,DEMO Floor 0,"POLYGON ((67.29350004 29.03606235, 66.15913401 28.64463713, 74.97672097 3.09091554, 76.11108701 3.48234076, 67.29350004 29.03606235))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-1-R1,3,6,m,DEMO-UTTAM-NAGAR,DEMO room B-1-R1,DEMO Floor 1,"POLYGON ((79.13251054 18.71729203, 71.82944280 16.19728982, 76.20561751 3.51495953, 83.50868525 6.03496174, 79.13251054 18.71729203))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-1-R2,3,6,m,DEMO-UTTAM-NAGAR,DEMO room B-1-R2,DEMO Floor 1,"POLYGON ((74.69109828 31.58868333, 67.38803054 29.06868112, 71.76420526 16.38635083, 79.06727300 18.90635304, 74.69109828 31.58868333))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-1-COMMON,3,6,m,DEMO-UTTAM-NAGAR,DEMO shared access B-1,DEMO Floor 1,"POLYGON ((67.29350004 29.03606235, 66.15913401 28.64463713, 74.97672097 3.09091554, 76.11108701 3.48234076, 67.29350004 29.03606235))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-2-R1,6,9,m,DEMO-UTTAM-NAGAR,DEMO room B-2-R1,DEMO Floor 2,"POLYGON ((79.13251054 18.71729203, 71.82944280 16.19728982, 76.20561751 3.51495953, 83.50868525 6.03496174, 79.13251054 18.71729203))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-2-R2,6,9,m,DEMO-UTTAM-NAGAR,DEMO room B-2-R2,DEMO Floor 2,"POLYGON ((74.69109828 31.58868333, 67.38803054 29.06868112, 71.76420526 16.38635083, 79.06727300 18.90635304, 74.69109828 31.58868333))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-2-COMMON,6,9,m,DEMO-UTTAM-NAGAR,DEMO shared access B-2,DEMO Floor 2,"POLYGON ((67.29350004 29.03606235, 66.15913401 28.64463713, 74.97672097 3.09091554, 76.11108701 3.48234076, 67.29350004 29.03606235))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-3-R1,9,12,m,DEMO-UTTAM-NAGAR,DEMO room B-3-R1,DEMO Floor 3,"POLYGON ((79.13251054 18.71729203, 71.82944280 16.19728982, 76.20561751 3.51495953, 83.50868525 6.03496174, 79.13251054 18.71729203))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-3-R2,9,12,m,DEMO-UTTAM-NAGAR,DEMO room B-3-R2,DEMO Floor 3,"POLYGON ((74.69109828 31.58868333, 67.38803054 29.06868112, 71.76420526 16.38635083, 79.06727300 18.90635304, 74.69109828 31.58868333))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
UN-B-3-COMMON,9,12,m,DEMO-UTTAM-NAGAR,DEMO shared access B-3,DEMO Floor 3,"POLYGON ((67.29350004 29.03606235, 66.15913401 28.64463713, 74.97672097 3.09091554, 76.11108701 3.48234076, 67.29350004 29.03606235))",AREA-457bac4c-1c6c-4157-a12a-1d44ba3c1bcf
