right_id,object_id,party_id,right_type,document_path,classification
LV-RIGHT-B01,B01,LV-PARTY-B01,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B02,B02,LV-PARTY-B02,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B03,B03,LV-PARTY-B03,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B04,B04,LV-PARTY-B04,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B05,B05,LV-PARTY-B05,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B06,B06,LV-PARTY-B06,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B07,B07,LV-PARTY-B07,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B08,B08,LV-PARTY-B08,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B09,B09,LV-PARTY-B09,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B10,B10,LV-PARTY-B10,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B11,B11,LV-PARTY-B11,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B12,B12,LV-PARTY-B12,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B13,B13,LV-PARTY-B13,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B14,B14,LV-PARTY-B14,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B15,B15,LV-PARTY-B15,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B16,B16,LV-PARTY-B16,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B17,B17,LV-PARTY-B17,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B18,B18,LV-PARTY-B18,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B19,B19,LV-PARTY-B19,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B20,B20,LV-PARTY-B20,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B21,B21,LV-PARTY-B21,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B22,B22,LV-PARTY-B22,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B23,B23,LV-PARTY-B23,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B24,B24,LV-PARTY-B24,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B25,B25,LV-PARTY-B25,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B26,B26,LV-PARTY-B26,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B27,B27,LV-PARTY-B27,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B28,B28,LV-PARTY-B28,ownership,records/fictional-property-schedule.pdf,synthetic
LV-RIGHT-B29,B29,LV-PARTY-B29,ownership,records/fictional-property-schedule.pdf,synthetic
