resident_id,name,role,classification,building_id,floor_id,unit_id,note
fictional-resident-B01-F0-U1,Fictional Resident B01 · 0/1,resident,synthetic,B01,B01-F0,B01-F0-U1,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F0-U2,Fictional Resident B01 · 0/2,resident,synthetic,B01,B01-F0,B01-F0-U2,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F1-U1,Fictional Resident B01 · 1/1,resident,synthetic,B01,B01-F1,B01-F1-U1,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F1-U2,Fictional Resident B01 · 1/2,resident,synthetic,B01,B01-F1,B01-F1-U2,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F2-U1,Fictional Resident B01 · 2/1,resident,synthetic,B01,B01-F2,B01-F2-U1,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F2-U2,Fictional Resident B01 · 2/2,resident,synthetic,B01,B01-F2,B01-F2-U2,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F3-U1,Fictional Resident B01 · 3/1,resident,synthetic,B01,B01-F3,B01-F3-U1,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F3-U2,Fictional Resident B01 · 3/2,resident,synthetic,B01,B01-F3,B01-F3-U2,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F4-U1,Fictional Resident B01 · 4/1,resident,synthetic,B01,B01-F4,B01-F4-U1,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B01-F4-U2,Fictional Resident B01 · 4/2,resident,synthetic,B01,B01-F4,B01-F4-U2,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B02-SHOWCASE-F0-SCHEDULE-UNIT,Fictional Resident B02 · 0/1,resident,synthetic,B02,B02-SHOWCASE-F0,B02-SHOWCASE-F0-SCHEDULE-UNIT,"Fictional occupant schedule; not ownership, identity verification or contact data."
fictional-resident-B02-SHOWCASE-F1-SCHEDULE-UNIT,Fictional Resident B02 · 1/1,resident,synthetic,B02,B02-SHOWCASE-F1,B02-SHOWCASE-F1-SCHEDULE-UNIT,"Fictional occupant schedule; not ownership, identity verification or contact data."
