record_id,building_id,parcel_id,floor_id,floor_name,level,floor_3d_id,unit_id,unit_name,unit_type,unit_3d_id,area_sq_m,source_plan_file,geometry_status,classification
schedule-B01-FB-C,B01,P01,B01-FB,Basement,-1,DEMO-3D-DENSE-B01:-1,B01-FB-C,Basement parking,parking,DEMO-3D-DENSE-B01:-1:UNIT:B01-FB-C,234.18444453600023,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-U1,B01,P01,B01-F0,Ground floor,0,DEMO-3D-DENSE-B01:0,B01-F0-U1,Apartment 101,residential,DEMO-3D-DENSE-B01:0:UNIT:B01-F0-U1,103.26555559500002,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-U2,B01,P01,B01-F0,Ground floor,0,DEMO-3D-DENSE-B01:0,B01-F0-U2,Apartment 102,residential,DEMO-3D-DENSE-B01:0:UNIT:B01-F0-U2,113.465555601,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-C,B01,P01,B01-F0,Ground floor,0,DEMO-3D-DENSE-B01:0,B01-F0-C,Shared circulation,common,DEMO-3D-DENSE-B01:0:UNIT:B01-F0-C,14.544444450000128,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-U1,B01,P01,B01-F1,Floor 1,1,DEMO-3D-DENSE-B01:1,B01-F1-U1,Apartment 201,residential,DEMO-3D-DENSE-B01:1:UNIT:B01-F1-U1,103.26555559500002,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-U2,B01,P01,B01-F1,Floor 1,1,DEMO-3D-DENSE-B01:1,B01-F1-U2,Apartment 202,residential,DEMO-3D-DENSE-B01:1:UNIT:B01-F1-U2,113.465555601,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-C,B01,P01,B01-F1,Floor 1,1,DEMO-3D-DENSE-B01:1,B01-F1-C,Shared circulation,common,DEMO-3D-DENSE-B01:1:UNIT:B01-F1-C,14.544444450000128,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-U1,B01,P01,B01-F2,Floor 2,2,DEMO-3D-DENSE-B01:2,B01-F2-U1,Apartment 301,residential,DEMO-3D-DENSE-B01:2:UNIT:B01-F2-U1,103.26555559500002,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-U2,B01,P01,B01-F2,Floor 2,2,DEMO-3D-DENSE-B01:2,B01-F2-U2,Apartment 302,residential,DEMO-3D-DENSE-B01:2:UNIT:B01-F2-U2,113.465555601,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-C,B01,P01,B01-F2,Floor 2,2,DEMO-3D-DENSE-B01:2,B01-F2-C,Shared circulation,common,DEMO-3D-DENSE-B01:2:UNIT:B01-F2-C,14.544444450000128,authored floor_spaces.geojson,authored_synthetic,synthetic
