record_id,building_id,parcel_id,floor_id,floor_name,level,floor_3d_id,unit_id,unit_name,unit_type,unit_3d_id,area_sq_m,source_plan_file,geometry_status,classification
schedule-B01-FB-C,B01,P01,B01-FB,Basement,-1,DEMO-3D-REFERENCE-B01:-1,B01-FB-C,Basement parking,parking,DEMO-3D-REFERENCE-B01:-1:UNIT:B01-FB-C,247.95999999999913,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-U1,B01,P01,B01-F0,Ground floor,0,DEMO-3D-REFERENCE-B01:0,B01-F0-U1,Apartment 101,residential,DEMO-3D-REFERENCE-B01:0:UNIT:B01-F0-U1,109.33999999999924,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-U2,B01,P01,B01-F0,Ground floor,0,DEMO-3D-REFERENCE-B01:0,B01-F0-U2,Apartment 102,residential,DEMO-3D-REFERENCE-B01:0:UNIT:B01-F0-U2,120.13999999999942,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F0-C,B01,P01,B01-F0,Ground floor,0,DEMO-3D-REFERENCE-B01:0,B01-F0-C,Shared circulation,common,DEMO-3D-REFERENCE-B01:0:UNIT:B01-F0-C,15.399999999999636,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-U1,B01,P01,B01-F1,Floor 1,1,DEMO-3D-REFERENCE-B01:1,B01-F1-U1,Apartment 201,residential,DEMO-3D-REFERENCE-B01:1:UNIT:B01-F1-U1,109.33999999999924,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-U2,B01,P01,B01-F1,Floor 1,1,DEMO-3D-REFERENCE-B01:1,B01-F1-U2,Apartment 202,residential,DEMO-3D-REFERENCE-B01:1:UNIT:B01-F1-U2,120.13999999999942,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F1-C,B01,P01,B01-F1,Floor 1,1,DEMO-3D-REFERENCE-B01:1,B01-F1-C,Shared circulation,common,DEMO-3D-REFERENCE-B01:1:UNIT:B01-F1-C,15.399999999999636,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-U1,B01,P01,B01-F2,Floor 2,2,DEMO-3D-REFERENCE-B01:2,B01-F2-U1,Apartment 301,residential,DEMO-3D-REFERENCE-B01:2:UNIT:B01-F2-U1,109.33999999999924,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-U2,B01,P01,B01-F2,Floor 2,2,DEMO-3D-REFERENCE-B01:2,B01-F2-U2,Apartment 302,residential,DEMO-3D-REFERENCE-B01:2:UNIT:B01-F2-U2,120.13999999999942,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F2-C,B01,P01,B01-F2,Floor 2,2,DEMO-3D-REFERENCE-B01:2,B01-F2-C,Shared circulation,common,DEMO-3D-REFERENCE-B01:2:UNIT:B01-F2-C,15.399999999999636,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F3-U1,B01,P01,B01-F3,Floor 3,3,DEMO-3D-REFERENCE-B01:3,B01-F3-U1,Apartment 401,residential,DEMO-3D-REFERENCE-B01:3:UNIT:B01-F3-U1,109.33999999999924,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F3-U2,B01,P01,B01-F3,Floor 3,3,DEMO-3D-REFERENCE-B01:3,B01-F3-U2,Apartment 402,residential,DEMO-3D-REFERENCE-B01:3:UNIT:B01-F3-U2,120.13999999999942,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F3-C,B01,P01,B01-F3,Floor 3,3,DEMO-3D-REFERENCE-B01:3,B01-F3-C,Shared circulation,common,DEMO-3D-REFERENCE-B01:3:UNIT:B01-F3-C,15.399999999999636,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F4-U1,B01,P01,B01-F4,Floor 4,4,DEMO-3D-REFERENCE-B01:4,B01-F4-U1,Apartment 501,residential,DEMO-3D-REFERENCE-B01:4:UNIT:B01-F4-U1,109.33999999999924,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F4-U2,B01,P01,B01-F4,Floor 4,4,DEMO-3D-REFERENCE-B01:4,B01-F4-U2,Apartment 502,residential,DEMO-3D-REFERENCE-B01:4:UNIT:B01-F4-U2,120.13999999999942,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B01-F4-C,B01,P01,B01-F4,Floor 4,4,DEMO-3D-REFERENCE-B01:4,B01-F4-C,Shared circulation,common,DEMO-3D-REFERENCE-B01:4:UNIT:B01-F4-C,15.399999999999636,authored floor_spaces.geojson,authored_synthetic,synthetic
schedule-B02-SHOWCASE-F0-SCHEDULE-UNIT,B02,P02,B02-SHOWCASE-F0,Ground floor,0,DEMO-3D-REFERENCE-B02:0,B02-SHOWCASE-F0-SCHEDULE-UNIT,Dwelling · schedule only,residential,DEMO-3D-REFERENCE-B02:0:UNIT:B02-SHOWCASE-F0-SCHEDULE-UNIT,,,schedule_only,synthetic
schedule-B02-SHOWCASE-F1-SCHEDULE-UNIT,B02,P02,B02-SHOWCASE-F1,Floor 1,1,DEMO-3D-REFERENCE-B02:1,B02-SHOWCASE-F1-SCHEDULE-UNIT,Dwelling · schedule only,residential,DEMO-3D-REFERENCE-B02:1:UNIT:B02-SHOWCASE-F1-SCHEDULE-UNIT,,,schedule_only,synthetic
schedule-B02-SHOWCASE-F2-SCHEDULE-UNIT,B02,P02,B02-SHOWCASE-F2,Floor 2,2,DEMO-3D-REFERENCE-B02:2,B02-SHOWCASE-F2-SCHEDULE-UNIT,Dwelling · schedule only,residential,DEMO-3D-REFERENCE-B02:2:UNIT:B02-SHOWCASE-F2-SCHEDULE-UNIT,,,schedule_only,synthetic
