alias,lower,upper,unit,benchmark,label,level,footprint_wkt,frame
UN-A-0-C,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Ground,"POLYGON ((155.126101 111.794650, 153.956721 111.225745, 147.461472 123.753304, 148.623389 124.336602, 155.126101 111.794650))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-0-R1,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 1,Ground,"POLYGON ((146.531942 107.613573, 144.471217 111.554342, 151.706268 115.305548, 153.837851 111.194308, 153.012390 110.766325, 146.531942 107.613573))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-0-R2,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 2,Ground,"POLYGON ((142.269641 115.764463, 149.519450 119.523321, 151.651033 115.412081, 144.415610 111.660681, 142.269641 115.764463))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-0-R3,0.00,3.20,m,BM-UTTAM-FICTIONAL,DEMO room 3,Ground,"POLYGON ((140.068065 119.974585, 144.145504 122.088642, 147.354218 123.699461, 149.464215 119.629854, 142.214034 115.870802, 140.068065 119.974585))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-1-C,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 1,"POLYGON ((155.126101 111.794650, 153.956721 111.225745, 147.461472 123.753304, 148.623389 124.336602, 155.126101 111.794650))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-1-R1,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 1,"POLYGON ((146.531942 107.613573, 144.471217 111.554342, 151.706268 115.305548, 153.837851 111.194308, 153.012390 110.766325, 146.531942 107.613573))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-1-R2,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 1,"POLYGON ((142.269641 115.764463, 149.519450 119.523321, 151.651033 115.412081, 144.415610 111.660681, 142.269641 115.764463))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-1-R3,3.20,6.40,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 1,"POLYGON ((140.068065 119.974585, 144.145504 122.088642, 147.354218 123.699461, 149.464215 119.629854, 142.214034 115.870802, 140.068065 119.974585))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-2-C,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO common corridor,Floor 2,"POLYGON ((155.126101 111.794650, 153.956721 111.225745, 147.461472 123.753304, 148.623389 124.336602, 155.126101 111.794650))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-2-R1,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 1,Floor 2,"POLYGON ((146.531942 107.613573, 144.471217 111.554342, 151.706268 115.305548, 153.837851 111.194308, 153.012390 110.766325, 146.531942 107.613573))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-2-R2,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 2,Floor 2,"POLYGON ((142.269641 115.764463, 149.519450 119.523321, 151.651033 115.412081, 144.415610 111.660681, 142.269641 115.764463))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
UN-A-2-R3,6.40,9.60,m,BM-UTTAM-FICTIONAL,DEMO room 3,Floor 2,"POLYGON ((140.068065 119.974585, 144.145504 122.088642, 147.354218 123.699461, 149.464215 119.629854, 142.214034 115.870802, 140.068065 119.974585))",AREA-eb82b76d-84cc-4fd0-ae93-b4a229fc4837
